cluster_id,size,cluster_template,example_raw,label
T00016223,10,[2025-09-01T15:58:06.148]-dy-c7i24xlarge-5 node [2025-09-01T15:58:06.148] powering down node-00:00:00.000 node2025-09-01,[2025-09-01T16:38:06.301] update_node: node cpu-48c-std-dy-c7i24xlarge-19 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00016172,10,<*> <*> <*> power down request repeating for <*>,[2025-09-01T16:23:06.231] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-19,
T00015397,10,<*> update_part: setting state_up to <*> for partition <*> <*>,[2025-08-27T11:20:46.139] select/cons_tres: part_data_create_array: select/cons_tres: preparing for 12 partitions,
T00015524,10,gpu-1g-l4-2c-dy-g6xlarge-3 gpu-1g-l4-2c-dy-g6xlarge-3--g6xlarge-3-g6-g6-g6 g,[2025-08-27T13:45:27.219] POWER: no more nodes to resume for job JobId=800,
T00015533,10,nodes gpu-1g-l4-2c-dy-g6xlarge-2-g6xlarge-2c-dyg6xlarge-2c-dy-g6xlargegpug POWER: power_save,[2025-08-27T14:06:07.367] POWER: Power save mode: 207 nodes,
T00015289,10,[2025-08-27T09:41:14.085] node [2025-08-27T09:41:14.085]:: [2025-08-27T09:41:14.085]:2025-08-27T,[2025-08-27T09:41:14.085] power down request repeating for node cpu-32c-std-dy-c7i16xlarge-17,
T00015467,9,<*> Gres <*> <*> Gres= gpugpugpugpugpu,"[2025-08-27T11:20:46.124] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00015756,9,nodes to resume for job [2025-08-28T16:05:49.231] POWER: no more nodes to resume for job:48 POWER: no more nodes to resume for job..5-08-28T16:05,[2025-08-29T07:58:13.317] sched: _slurm_rpc_allocate_resources JobId=830 NodeList=test-cpu-8c-c7iflex-dy-c7iflex4xlarge-1 usec=4304,
T00016177,9,[2025-09-01T15:43:23.006] error: no ret_list given. [2025-09-01T15:43:23.006],[2025-09-01T15:48:33.006] error: unable to split forward hostlist,node_error_event
T00016063,9,[2025-09-01T05:57:19.049] _slurm_rpc_submit_batch_job: JobId=853 InitPrio=34883 usec=1183 [2025-09-01T05:57:19,[2025-09-02T00:00:28.045] POWER: Power save mode: 209 nodes,
T00016169,9,<*> for node power down request repeating for node <*> <*> <*> <*> <*> <*> for <*>,[2025-09-01T16:32:06.208] update_node: node cpu-48c-std-dy-c7i24xlarge-5 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00017126,9,[2025-09-02T14:29:26.570] Gres Count=100] [2025-09-02T14:29:26.570] Gres=gpugpugpu Type=l4=l,"[2025-09-02T14:29:26.584] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",gpu_instance_mapping
T00015340,9,gpu-1g-l4-2c-dy-g6xlarge-32 node node-g6xlarge-32gpu-1g-l4-2c-dy-g6xlarge-32---5-08,[2025-08-27T09:41:14.215] power down request repeating for node gpu-1g-l4-4c-dy-g62xlarge-9,gpu_instance_mapping
T00016125,9,cpu-48c-std-dy-c7i24xlarge-20. cpu-48c-std-dy-c7i24xlarge-20 [2025-09-01T15:34:06.176] update_no,[2025-09-01T15:48:06.149] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-10,
T00015737,9,cpu-16c-std-dy-c7i8xlarge-1 cpu-16c-std-dy-c7i8xlarge-1.-cpu-c7i8xlarge-1- POWER:_,[2025-08-29T09:52:58.314] _job_complete: JobId=830 done,
T00016686,8,[2025-09-01T18:18:27.97] [2025-09-01T18:18:27.97] [2025-09-01T18:18:27.97] job JobId=870 due to failure of node [2025-09-01,[2025-09-02T08:20:56.042] update_node: node cpu-32c-std-dy-c7i16xlarge-2 reason set to: updating node state during cluster update,
T00015671,8,nodesg-l4-4c-dy-g62xlarge-1g-l4-4c-dy-g62xlarge-1g-g62xlarge-1g-l4-4c-g62xlarge-1g-l4-4cg62,[2025-08-28T14:47:17.656] POWER: no more nodes to resume for job JobId=821,
T00015448,8,[2025-08-27T11:20:45.488] slurmctld version 24.05.8 started on cluster sacf-ubuntu-cluster. [2025-08-27T11:20:45.488] [2025-08-27T,[2025-08-28T07:32:38.606] error: Configured MailProg is invalid,node_error_event
T00016890,8,[2025-09T08:20:56.263] power down request repeating for node for node power down request repeating for node power down request repeating for node gpu-1g-l4-4c-dy-g62xlarge-30,[2025-09-02T08:20:56.419] update_node: node gpu-4g-l4-24c-dy-g612xlarge-3 reason set to: updating node state during cluster update,
T00016261,8,5-09-01T16:06:43.007. [2025-09-01T16:06:43.007] Requering JobId=871 [2025-09-01T16:06:43.007] [2025-09-01T16:06:43.00,[2025-09-01T16:49:36.281] Requeuing JobId=870,
T00016879,8,-c7i16xlarge-5. node. [2025-09-02T08:20:56.042] update_node: node cpu-32c-sd-dy-c7i16xlarge-5 reason set to: updating,[2025-09-03T07:52:06.413] update_node: node cpu-48c-std-dy-c7i24xlarge-11 reason set to: updating node state during cluster update,
T00015460,8,[2025-08-27T11:20:46.071] topology/default: init: topology Default plugin loaded. [2025-08-27T11:20:46.071] topology/default: init: topology Default plugin loaded.,"[2025-08-28T07:32:38.702] error: UnkillableStepTimeout must be at least 5 times greater than MessageTimeout, otherwise nodes may go down with the reason ""KillTaskFailed"". Current values: UnkillableStepTimeout=180, MessageTimeout=60",job_failed_event
T00017127,8,[2025-09-02T14:29:26.571] Gres Count=126.57171] [2025-09-02T14:29:26.571] Gres=gpugpugpu Type=l4,"[2025-09-03T07:52:15.219] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00015280,8,2025-08-27T09:41:14.053 node_node: [2025-08-27T09:41:14.053]node node- node2025-08-27T09:41:14.053,[2025-08-27T09:41:14.085] update_node: node cpu-32c-std-dy-c7i16xlarge-13 reason set to: stopping cluster,
T00016350,8,job JobId=869 job JobId=869 due to failure of node [2025-09-01T16:30:29.147] requeue job JobId=869 due to failure of node [2025-09-01T16:,[2025-09-01T16:42:22.255] update_node: node cpu-48c-std-dy-c7i24xlarge-13 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00015504,8,nodesg-l4-2c-dy-g6xlarge-1g-l4-2c-dy-g6xlarge-1ggg6xlarge-1g-l4-2c-dy-g6xlarge. POWER:,[2025-08-28T09:01:46.816] job_signal: 9 of running JobId=802 successful 0x8004,
T00015334,7,gpu-1g-l4-2c-dy-g6xlarge-22 node gpu-1g-l4-2c-dy-g6xlarge-22-g6xlarge-22gpu-l4-2c-dy-g6,[2025-08-27T09:41:14.215] power down request repeating for node gpu-1g-l4-4c-dy-g62xlarge-17,
T00016399,7,POWER: power_save: suspending nodes POWER: power_save: suspending nodes POWER: power_save: suspending nodes POWER: power_save: suspending nodes POWER: power_sa,[2025-09-01T16:46:26.013] error: _thread_per_group_rpc: no ret_list given,node_error_event
T00016214,7,cpu-48c-std-dy-c7i24xlarge-[5-6] POWER: power_save: waking nodes POWER: power_save: waking nodes waking nodes POWER: power_,[2025-09-01T16:37:41.840] POWER: no more nodes to resume for job JobId=867,
T00016928,7,"<*> Gres Count=100] <*> Gres=0gpugpugpugpu,HA","[2025-09-02T14:29:18.772] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00015346,7,gpu-1g-l4-2c-dy-g6xlarge-40 node [2025-08-27T09:41:14.183]-g6xlarge-40gpu-1g-l4-2c-dy-g6xlarge,[2025-08-27T09:41:14.183] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-69,
T00016174,7,<*> error: _xgetaddrinfo: <*> failed: Temporary failure in name resolution,[2025-09-01T15:48:06.149] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-9,
T00015447,7,[2025-08-27T11:20:45.488] error: Configured MailProg is invalid.,[2025-08-28T07:32:38.606] error: chdir(/var/log): Permission denied,node_error_event
T00016971,7,"[2025-09-02T08:21:05.184] Gres Count=118400 [2025-09-02T08:21:05.184] Gres=gpugpugpu,HAS_F","[2025-09-02T08:21:05.188] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016278,7,POWER: power_save: waking nodes POWER: power_save: waking nodes POWER: power_save: waking nodes POWER: power_save: waking nodes----,[2025-09-01T16:35:37.825] POWER: no more nodes to resume for job JobId=863,
T00015355,7,gpu-1g-l4-4c-dy-g62xlarge-2 node g62xlarge-2-g62xlarge-2 node. [2025-08-27T09:41:14.214] update_node: node,[2025-08-27T09:41:14.278] power down request repeating for node gpu-4g-l4-24c-dy-g612xlarge-2,
T00016163,6,cpu-48c-std-dy-c7i24xlarge-7 state set to DOWN. [2025-09-01T15:42:06.148]. node.0.2025-09-01T15:42:06.,[2025-09-01T15:46:33.833] Requeuing JobId=866,
T00016162,6,<*> Requering JobId=866 <*> Requering JobId=866 <*> Requering JobId,[2025-09-01T15:51:42.506] POWER: power_save: waking nodes cpu-48c-std-dy-c7i24xlarge-[5-6],
T00015455,6,"PrivateData 1 specified more than once, latest value used. [2025-08-27T11:20:46.070] error: [2025-08-27T11:20:46.070]",[2025-08-28T07:32:38.609] accounting_storage/slurmdbd: clusteracct_storage_p_register_ctld: Registering slurmctld at port 6820 with slurmdbd,
T00016981,6,[2025-09-02T08:21:05.214]. [2025-09-02T08:21:05.214]: [2025-09-02T08:21:05.214]2025-09-02T08:21:05,"[2025-09-02T14:29:26.574] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00015428,6,<*> update_part: setting state_up to 3 for partition <*> <*> update_part: setting <*>,[2025-09-02T14:29:26.621] select/cons_tres: part_data_create_array: select/cons_tres: preparing for 19 partitions,
T00016989,6,<*> _job_complete: <*> done. <*> _job_complete: <*> [2025-09-02T08,[2025-09-02T09:16:47.361] _job_complete: JobId=901 done,
T00017084,6,"[2025-09-02T14:29:18.777] Gres=l4777]0 [2025-09-02T14:29:18.777] Gres777]gpugpugpugpu,HAS","[2025-09-02T14:29:18.799] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016105,6,:: <*> update_node: node. <*> update_node: node cpu-48c-std-dy,[2025-09-01T15:51:42.505] POWER: no more nodes to resume for job JobId=863,
T00015452,6,accounting_storage/slurmdbd: init: Accounting storage SLURMDBD plugin loaded. <*> accounting_storage SLURMDBD plugin loaded.,[2025-09-02T08:20:58.110] select/cons_tres: init: select/cons_tres loaded,
T00016061,6,[2025-09-01T05:14:02.000]. [2025-09-01T05:14:02.000] [2025-09-01T05:14:02.000] [2025-09-01T05:14:02.000] Resetting JobId=85,[2025-09-01T13:52:06.000] job_time_limit: Configuration for JobId=854 complete,
T00016045,6,job_signal: 9 of running JobId=850 successful 0x8004 job_signal: 9 of running JobId=850 successful 0x8004 job_signal: 9 of running JobId=850 successful 0x8004 job_signal: 9 of,[2025-09-01T14:52:48.082] POWER: Power save mode: 209 nodes,
T00016398,6,<*> error: no ret_list given.,[2025-09-01T16:59:22.013] error: unable to split forward hostlist,node_error_event
T00015709,6,[2025-08-28T10:17:45.001]. [2025-08-28T10:17:45.45] Resetting [2025-08-28T10:17:45.001] Resetting JobId=810 start time for no,[2025-08-29T07:58:34.128] POWER: power_save: waking nodes test-cpu-8c-c7iflex-dy-c7iflex4xlarge-1,
T00015459,6,"[2025-08-27T11:20:46.071] error: UnkillableStepTimeout must be at least 5 times greater than MessageTimeout, otherwise nodes may go down with the reason ""KillTaskFailed"".","[2025-08-28T07:32:38.702] error: MpiDefault 1 specified more than once, latest value used",node_error_event
T00016295,6,[2025-09-01T16:16:32.028] Requering <*> <*> [2025-09-01T16:16:32.028] Requering <*> <*> [2025-09-01T,[2025-09-01T18:18:26.598] POWER: no more nodes to resume for job JobId=869,
T00016342,6,: POWER: no more nodes to resume for job <*> POWER: no more nodes to resume for <*> POWER: no more nodes to resume,[2025-09-01T16:35:37.826] POWER: no more nodes to resume for job JobId=871,
T00016326,6,<*> requeue job <*> due to failure of node [2025-09-01T16:25:25.115] [2025-09-01T16:25:25.115],[2025-09-01T16:30:29.147] update_node: node cpu-48c-std-dy-c7i24xlarge-5 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00015324,6,gpu-1g-l4-2c-dy-g6xlarge-9 node [2025-08-27T09:41:14.182]-g6xlarge-9gpu-1g-l4-2c-dy-g6xlarge,[2025-08-27T09:41:14.246] power down request repeating for node gpu-1g-l4-16c-dy-g68xlarge-3,
T00016325,6,::: (Code:InsufficientInstanceCapacity)Failure when resuming nodes.. <*> update_node: node cpu-48c-std-,[2025-09-01T16:57:19.989] POWER: no more nodes to resume for job JobId=867,
T00016423,6,POWER: power_save: waking nodes POWER: power_save: waking nodes:00:00.017] POWER: power_save: waking nodes POWER:17] POWER: POWER,[2025-09-01T17:14:22.116] POWER: no more nodes to resume for job JobId=872,
T00016435,6,5-09-01T16:49:36.281 [2025-09-01T16:49:36.281]205-09-01T16:49:36.2815-09-01T16:49:36.281 Requering JobId=867 JobId,[2025-09-01T16:59:23.003] POWER: power_save: suspending nodes cpu-48c-std-dy-c7i24xlarge-[13-20],
T00015606,6,<*> Gres Count=1 <*> Gres <*> Gres=,"[2025-08-28T07:32:45.492] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00015607,6,"[2025-08-28T07:32:38.750] Gres=l40 Gres=5-08:38.750] Gresgpugpugpul4ENV_NVML,ENV_RSMI,","[2025-09-03T07:52:09.495] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016182,6,<*> Requering JobId=863 <*> <*>,[2025-09-01T17:34:32.618] update_node: node cpu-48c-std-dy-c7i24xlarge-8 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00016442,6,: POWER: no more nodes to resume for job <*> <*> <*> <*> <*> <*> <*> <*> <*> POWER: no more nodes to resume for job <*> <*>,[2025-09-01T17:06:06.167] update_node: node cpu-48c-std-dy-c7i24xlarge-12 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016311,6,5-09-01T16:21:42.085 [2025-09-01T16:21:42.085] Requering JobId=8665-09-01T16:21:42.085]5-09-01T16:21:42.085] Requering,[2025-09-01T16:44:24.893] POWER: power_save: waking nodes cpu-48c-std-dy-c7i24xlarge-[7-12],
T00016477,6,[2025-09-01T17:04:18.000] sched: [2025-09-01T17:04:18.000] [2025-09-01T17:04:18.000] sched: [2025-09-01T17:04:18.000,[2025-09-01T17:08:06.210] powering down node cpu-48c-std-dy-c7i24xlarge-15,
T00016841,6,JobId=877 job_signal: 9 of running JobId=877 successful 0x8004 job_signal: 9 of running JobId=877 successful 0x8004 job_signal: 9 of running JobId=877 job_signal: 9 of running,[2025-09-02T08:14:21.298] _job_complete: JobId=889 done,
T00016910,6,slurmdbd: slurmdbddbddbddbddbddbddbddbddbddbddbddbddbddbddbddbddb,[2025-09-02T14:29:18.557] error: Sending PersistInit msg: Connection refused,node_error_event
T00015689,6,waking nodes waking nodes waking nodes0: waking nodes cpu-16c-std-dy-c7i8xlarge-1-c7i8xlarge-1cc7i8xlarge waking no,[2025-09-01T15:32:04.365] POWER: no more nodes to resume for job JobId=857,
T00015519,6,[2025-08-27T12:53:47.837] POWER: POWER: POWER: [2025-08-27T12:53:47.837] POWER: JobId=795 needed to restart but isn't configuring,[2025-08-28T10:13:09.301] job_signal: 9 of configuring JobId=809 successful,
T00015316,6,node gpu-1g-l4-2c-dy-g6xlarge-2 node node-g6xlarge-2c-dy-g6xlarge-2gpu-1g-l4-2c-dy-g6xlarge-2,[2025-08-27T09:41:14.182] power down request repeating for node gpu-1g-l4-2c-dy-g6xlarge-4,
T00016235,6,: [2025-09-01T16:02:06.167] update_node: node.[2025-09-01T16:02:06.167] update_node:instances. [2025-09-01T16:02:06.167] update,[2025-09-01T16:02:06.167] update_node: node cpu-48c-std-dy-c7i24xlarge-19 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00015317,6,power down request repeating for node. power down request repeating for <*> power down request5-0,[2025-08-27T09:41:14.182] update_node: node gpu-1g-l4-2c-dy-g6xlarge-16 reason set to: stopping cluster,
T00015382,5,power down request repeating for node test-cpu-4c-c7iflex-dy-c7iflex2xlarge-1.]-c7iflex-dy-c7iflex2xlarge-1-c7iflex-c7,[2025-09-01T18:00:06.264] update_node: node cpu-48c-std-dy-c7i24xlarge-7 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016049,5,[2025-09-01T03:30:48.228] [2025-09-01T03:30:48.228] [2025-09-01T03:30:48.228] [2025-09-01T03:30:48.228] [2025-09-01T0,[2025-09-01T05:57:32.271] POWER: power_save: waking nodes cpu-32c-std-dy-c7i16xlarge-1,
T00017138,5,[2025-09-02T14:29:26.610] Gres=l40610] [2025-09-02T14:29:26.610] Gres=610]gpugpugpugpu=4,"[2025-09-03T07:52:09.503] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016322,5,[2025-09-01T16:25:18.000] sched: [2025-09-01T16:25:18.000]-dy-c7i24xlarge-5 sched-dy-c7i24xlarge-5c,[2025-09-01T16:27:06.257] update_node: node cpu-48c-std-dy-c7i24xlarge-11 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016978,5,"[2025-09-02T08:21:05.208] Gres=l4020.0 [2025-09-02T08:21:05.208] Gresgpugpugpugpugpu,HAS","[2025-09-02T14:29:26.585] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016115,5,<*> _job_complete: <*> WEXITSTATUS 1 <*> _job_complete: <*> <*>,[2025-09-01T15:47:06.157] update_node: node cpu-48c-std-dy-c7i24xlarge-17 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00017088,5,[2025-09-02T14:29:18.781] Gres Count=1789781] [2025-09-02T14:29:18.781] Gres=781]gpugpu Type=,"[2025-09-02T14:29:18.798] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016267,5,node <*> <*> [2025-09-01T16:08:06.06.184],[2025-09-01T17:55:06.199] update_node: node cpu-48c-std-dy-c7i24xlarge-9 state set to DOWN,
T00016865,5,_nodes: node cpu-8c-std-dy-c7i4xlarge-9 state set to DRAIN.._nodes: node state set to DRAIN._nodes: node state set to,[2025-09-02T08:20:55.889] update_node: node cpu-8c-std-dy-c7i4xlarge-16 reason set to: updating node state during cluster update,node_draining_state
T00016035,5,[2025-09-01T02:32:21.569] _slurm_rpc_submit_batch_job: JobId=850 InitPrio=45348 usec=576 usec=576 [2025-09-01T02:,[2025-09-01T08:08:39.807] job_signal: 9 of running JobId=853 successful 0x8004,
T00016222,5,: [2025-09-01T15:57:06.198] update_node: node. [2025-09-01T15:57:06.198] [2025-09-01T15:57:06.198] [2025-09-01T15:57:06.198,[2025-09-01T16:02:06.167] update_node: node cpu-48c-std-dy-c7i24xlarge-18 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00015750,5,[2025-08-28T15:00:54.549] _slurm_rpc_submit_batch_job: JobId=822 InitPrio=35135 usec=1006 usec=1006 usec=1006 usec,[2025-09-02T07:53:56.289] _job_complete: JobId=882 done,
T00015712,5,"-c7i8xlarge-3/192.168.8.131-3, instance_name=c7i.8xlarge-3, and instance_size=c7i.8xlarge-3.000:00.3/cpu-16c-std-dy",[2025-08-28T16:44:34.512] POWER: power_save: suspending nodes test-cpu-8c-c7iflex-dy-c7iflex4xlarge-1,
T00015590,5,<*> error: Connection refused,[2025-09-02T08:20:57.976] error: _open_persist_conn: failed to open persistent connection to host:ip-192-168-9-128:6819: Connection refused,node_error_event
T00015799,5,<*> <*> POWER: Power save mode: 210 nodes:: Power save <*>,[2025-08-29T23:19:47.914] POWER: Power save mode: 210 nodes,
T00015596,5,:.. [2025-08-28T07:32:38.707] sched: [2025-08-28T07:32:38.707] Backfill scheduler plugin loaded. [2025-08-28T07:32:38.70,"[2025-08-28T07:32:45.448] error: InactiveLimit 1 specified more than once, latest value used",node_error_event
T00015847,5,[2025-08-29T11:37:40.287] _job_complete: JobId=841 WTERMSIG 2 [2025-08-29T11:37:40.287] _job_complete: JobId=841 WTERMSIG 2,[2025-09-02T08:03:18.261] sched: _slurm_rpc_allocate_resources JobId=887 NodeList=test-cpu-8c-c7iflex-dy-c7iflex4xlarge-1 usec=6139,
T00016173,4,<*> <*> <*> <*> <*> power down request repeating for <*>,[2025-09-01T15:58:06.148] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-15,
T00016380,4,cpu-48c-std-dy-c7i24xlarge-20. cpu-48c-std-dy-c7i24xlarge-20. [2025-09-01T16:39:06.217] update_,[2025-09-01T16:44:26.235] update_node: node cpu-48c-std-dy-c7i24xlarge-12 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00015684,4,[2025-08-28T09:59:01.073] _slurm_rpc_submit_batch_job: JobId=805 InitPrio=36111 usec=1174 [2025-08-28T09:59:01.,[2025-08-28T16:55:22.934] job_signal: 9 of running JobId=825 successful 0x8004,
T00016225,4,<*> power down request repeating for node:: power down request repeating for node: <*>,[2025-09-01T18:42:06.174] powering down node cpu-48c-std-dy-c7i24xlarge-11,
T00015314,4,gpu-1g-l4-2c-dy-g6xlarge-1 node node-g6xlarge-1g-l4-2c-dy-g6xlarge-1g-l4-2c-dy-g6xlarge-1,[2025-09-01T16:27:06.257] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-13,
T00015777,4,[2025-08-28T16:55:00.003] sched: [2025-08-28T16:55:00.003]-dy-c7i8xlarge-1 schedc7i8xlarge-1cc,[2025-09-02T08:02:27.407] _slurm_rpc_submit_batch_job: JobId=886 InitPrio=34090 usec=641,
T00015348,4,[2025-08-27T09:41:14.183] power down request repeating for node. power down request repeating for <*> power down request. power down <*>,[2025-08-27T09:41:14.215] power down request repeating for node gpu-1g-l4-4c-dy-g62xlarge-13,
T00016122,4,<*> power down request <*> <*> <*>,[2025-09-01T16:18:06.189] update_node: node cpu-48c-std-dy-c7i24xlarge-13 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00015463,4,[2025-08-27T11:20:46.077] Recovered information about 0 jobs [2025-08-27T11:20:46.077] Recovered information about 0 jobs [2025-08-27T11:20:46.077] Recovered information about,[2025-08-28T07:32:38.708] Recovered state of 210 nodes,node_recovered
T00016495,4,[2025-09-01T17:06:38.428] [2025-09-01T17:06:38.428]:38.428:34.828-:00.0:06:38.4282025-09-01T17,[2025-09-01T17:11:17.439] update_node: node cpu-48c-std-dy-c7i24xlarge-15 state set to DOWN,
T00015826,4,nodes to resume for job [2025-08-29T10:22:12.172] POWER: no more nodes to resume for job POWER: no more nodes to resume for job:12.172] POWER: no more nodes to resume for job POWER,[2025-08-29T10:59:21.634] sched/backfill: _start_job: Started JobId=840 in cpu-16c-std on cpu-16c-std-dy-c7i8xlarge-2,
T00016211,4,cpu-48c-std-dy-c7i24xlarge-20. cpu-48c-std-dy-c7i24xlarge-20 at: [2025-09-01T15:53:06.191] update,[2025-09-02T08:20:56.653] power down request repeating for node test-cpu-8c-c7iflex-dy-c7iflex4xlarge-2,
T00016152,4,[2025-09-01T15:38:06.208]. [2025-09-01T15:38:06.208]::::2025-09-01T15:38:06.208]:38.5-09-01T15:38:,[2025-09-03T07:52:06.251] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-1,
T00016384,4,[2025-09-01T16:39:16.243] [2025-09-01T16:39:16.243] <*> <*>,[2025-09-01T16:44:24.893] POWER: no more nodes to resume for job JobId=872,
T00016236,4,node cpu-48c-std-dy-c7i24xlarge-5. cpu-48c-std-dy-c7i24xlarge-5 00:00:03.192 --_no,[2025-09-01T16:26:06.186] update_node: node cpu-48c-std-dy-c7i24xlarge-13 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00016443,4,[2025-09-01T16:52:42.368] Requering <*> [2025-09-01T16:52:42.368] <*>,[2025-09-01T17:02:29.024] POWER: no more nodes to resume for job JobId=870,
T00015396,4,: <*> <*> select/cons_tres: preparing for 12 partitions <*>,[2025-08-27T11:20:46.139] select/cons_tres: select_p_reconfigure: select/cons_tres: reconfigure,
T00015552,4,waking nodesg-l4-2c-dy-g6xlarge-1g-l4-2c-dy-g6xlarge-1gg6xlarge-1g-l4-2cg6xlarge-1g-l4-2cg,[2025-08-28T10:17:35.714] POWER: no more nodes to resume for job JobId=812,
T00016202,4,[2025-09-01T15:53:06.191] for node power down request repeating for <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,[2025-09-01T16:59:06.194] update_node: node cpu-48c-std-dy-c7i24xlarge-14 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016893,4,_nodes: node drain_nodes: node drain_nodes: node drain_nodes: <*> <*> <*> <*> node drain_nodes: <*> <*> <*>,[2025-09-02T08:20:56.730] drain_nodes: node test-gpu-1g-l4-4c-g6-dy-g62xlarge-2 state set to DRAIN,node_draining_state
T00016200,4,[2025-09-01T15:51:43.842] [2025-09-01T15:51:43.842] [2025-09-01T15:51:43.842] [2025-09-01T15:51:43.842] requeue job Job,[2025-09-01T16:01:31.580] POWER: no more nodes to resume for job JobId=866,
T00016171,4,<*> power down request repeating for <*> <*> <*> <*> <*> <*>,[2025-09-01T17:51:06.240] update_node: node cpu-48c-std-dy-c7i24xlarge-8 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00015704,4,[2025-08-28T10:16:51.451] _slurm_rpc_submit_batch_job: JobId=811 InitPrio=37500 usec=583 [2025-08-28T10:16:5,[2025-08-31T23:22:47.468] POWER: no more nodes to resume for job JobId=848,
T00015722,4,<*> _job_complete: <*> done <*> <*> _job_complete:,[2025-09-02T14:02:45.100] _slurm_rpc_kill_job: REQUEST_KILL_JOB JobId=924 uid 1405803225,
T00015344,4,[2025-08-27T09:41:14.183] power down request repeating for node. power down request repeating for <*> power down request. power down <*> <*> <*> <*>,[2025-08-27T09:41:14.215] power down request repeating for node gpu-1g-l4-4c-dy-g62xlarge-28,
T00016897,4,_node: node..-node-state_node-c7iflex2xlarge-2_node_node: node5-09T08:20:56.574] [2025-09-,[2025-09-03T07:52:07.531] drain_nodes: node test-cpu-8c-c7iflex-dy-c7iflex4xlarge-1 state set to DRAIN,node_draining_state
