dataset,line_no,timestamp,level,component,message,template
HealthApp_2k,275,,,Step_LSC,20171223-22:15:53:349|Step_LSC|30002312|onStandStepChanged 3619,<HEX>-22:15:53:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,276,,,onExtend,20171223-22:15:53:358|Step_LSC|30002312|onExtend:1514038554000 2 0 4,<HEX>-22:15:53:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,277,,,Step_SPUtils,20171223-22:15:53:653|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7045##548365##8661##15781##27196970,<HEX>-22:15:53:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,278,,,Step_SPUtils,20171223-22:15:53:653|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7047##548365##8661##15876##27197972,<HEX>-22:15:53:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,279,,,Step_ExtSDM,20171223-22:15:53:665|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127632,<HEX>-22:15:53:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,280,,,Step_ExtSDM,20171223-22:15:53:673|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:53:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,281,,,Step_StandReportReceiver,20171223-22:15:53:675|Step_StandReportReceiver|30002312|REPORT : 7047 5031 150946 240,<HEX>-22:15:53:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,282,,,Step_LSC,20171223-22:15:54:350|Step_LSC|30002312|onStandStepChanged 3620,<HEX>-22:15:54:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,283,,,onExtend,20171223-22:15:54:359|Step_LSC|30002312|onExtend:1514038555000 1 0 4,<HEX>-22:15:54:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,284,,,Step_SPUtils,20171223-22:15:54:651|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7047##548365##8661##15876##27197972,<HEX>-22:15:54:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,285,,,Step_SPUtils,20171223-22:15:54:651|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7048##548365##8661##15971##27198970,<HEX>-22:15:54:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,286,,,Step_ExtSDM,20171223-22:15:54:657|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127653,<HEX>-22:15:54:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,287,,,Step_ExtSDM,20171223-22:15:54:660|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:54:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,288,,,Step_StandReportReceiver,20171223-22:15:54:661|Step_StandReportReceiver|30002312|REPORT : 7048 5032 150968 240,<HEX>-22:15:54:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,289,,,Step_LSC,20171223-22:15:55:349|Step_LSC|30002312|onStandStepChanged 3622,<HEX>-22:15:55:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,290,,,onExtend,20171223-22:15:55:359|Step_LSC|30002312|onExtend:1514038556000 2 0 4,<HEX>-22:15:55:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,291,,,Step_SPUtils,20171223-22:15:55:650|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7048##548365##8661##15971##27198970,<HEX>-22:15:55:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,292,,,Step_SPUtils,20171223-22:15:55:650|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7050##548365##8661##16066##27199969,<HEX>-22:15:55:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,293,,,Step_ExtSDM,20171223-22:15:55:657|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127696,<HEX>-22:15:55:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,294,,,Step_ExtSDM,20171223-22:15:55:659|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:55:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,295,,,Step_StandReportReceiver,20171223-22:15:55:660|Step_StandReportReceiver|30002312|REPORT : 7050 5033 151011 240,<HEX>-22:15:55:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,296,,,Step_LSC,20171223-22:15:55:848|Step_LSC|30002312|onStandStepChanged 3624,<HEX>-22:15:55:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,297,,,onExtend,20171223-22:15:55:855|Step_LSC|30002312|onExtend:1514038556000 2 0 4,<HEX>-22:15:55:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,298,,,Step_SPUtils,20171223-22:15:56:150|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7050##548365##8661##16066##27199969,<HEX>-22:15:56:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,299,,,Step_SPUtils,20171223-22:15:56:151|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,<HEX>-22:15:56:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,300,,,Step_ExtSDM,20171223-22:15:56:163|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127739,<HEX>-22:15:56:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,301,,,Step_ExtSDM,20171223-22:15:56:169|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:56:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,302,,,Step_StandReportReceiver,20171223-22:15:56:170|Step_StandReportReceiver|30002312|REPORT : 7052 5035 151053 240,<HEX>-22:15:56:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,303,,,Step_LSC,20171223-22:15:57:851|Step_LSC|30002312|onStandStepChanged 3625,<HEX>-22:15:57:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,304,,,onExtend,20171223-22:15:57:863|Step_LSC|30002312|onExtend:1514038558000 1 0 4,<HEX>-22:15:57:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,305,,,Step_SPUtils,20171223-22:15:58:155|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7052##548365##8661##16161##27200470,<HEX>-22:15:58:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,306,,,Step_SPUtils,20171223-22:15:58:156|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7053##548365##8661##16256##27202475,<HEX>-22:15:58:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,307,,,Step_ExtSDM,20171223-22:15:58:170|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127761,<HEX>-22:15:58:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,308,,,Step_ExtSDM,20171223-22:15:58:174|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:58:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,309,,,Step_StandReportReceiver,20171223-22:15:58:175|Step_StandReportReceiver|30002312|REPORT : 7053 5035 151075 240,<HEX>-22:15:58:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,310,,,Step_LSC,20171223-22:15:59:849|Step_LSC|30002312|onStandStepChanged 3626,<HEX>-22:15:59:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,311,,,onExtend,20171223-22:15:59:865|Step_LSC|30002312|onExtend:1514038560000 1 0 4,<HEX>-22:15:59:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,312,,,action,20171223-22:16:0:119|Step_LSC|30002312|processHandleBroadcastAction action:android.intent.action.TIME_TICK,<HEX>-22:16:0:<NUM>|Step_LSC|<HEX>|processHandleBroadcastAction action:android.intent.action.TIME_TICK
HealthApp_2k,313,,,Step_SPUtils,20171223-22:16:0:150|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7053##548365##8661##16256##27202475,<HEX>-22:16:0:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,314,,,Step_SPUtils,20171223-22:16:0:150|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038500000##7054##548458##8661##16256##27204469,<HEX>-22:16:0:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,315,,,Step_ExtSDM,20171223-22:16:0:159|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127782,<HEX>-22:16:0:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,316,,,Step_ExtSDM,20171223-22:16:0:161|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:16:0:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,317,,,Step_StandReportReceiver,20171223-22:16:0:162|Step_StandReportReceiver|30002312|REPORT : 7054 5036 151096 240,<HEX>-22:16:0:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,318,,,Step_LSC,20171223-22:16:0:849|Step_LSC|30002312|onStandStepChanged 3626,<HEX>-22:16:0:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,319,,,onExtend,20171223-22:16:0:859|Step_LSC|30002312|onExtend:1514038561000 0 0 0,<HEX>-22:16:0:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 0 0 0
HealthApp_2k,320,,,Step_SPUtils,20171223-22:16:1:150|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038500000##7054##548458##8661##16256##27204469,<HEX>-22:16:1:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,321,,,Step_SPUtils,20171223-22:16:1:150|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038500000##7054##548551##8661##16256##27205469,<HEX>-22:16:1:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,322,,,Step_ExtSDM,20171223-22:16:1:165|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127782,<HEX>-22:16:1:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,323,,,Step_ExtSDM,20171223-22:16:1:172|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:16:1:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,324,,,action,20171223-22:17:0:123|Step_LSC|30002312|processHandleBroadcastAction action:android.intent.action.TIME_TICK,<HEX>-22:17:0:<NUM>|Step_LSC|<HEX>|processHandleBroadcastAction action:android.intent.action.TIME_TICK
HealthApp_2k,325,,,Step_LSC,20171223-22:17:18:850|Step_LSC|30002312|onStandStepChanged 3626,<HEX>-22:17:18:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,326,,,onExtend,20171223-22:17:18:864|Step_LSC|30002312|onExtend:1514038639000 0 0 4,<HEX>-22:17:18:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 0 0 4
HealthApp_2k,327,,,Step_SPUtils,20171223-22:17:19:151|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038500000##7054##548551##8661##16256##27205469,<HEX>-22:17:19:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,328,,,Step_SPUtils,20171223-22:17:19:152|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7054##548552##8661##16256##27283470,<HEX>-22:17:19:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,329,,,Step_ExtSDM,20171223-22:17:19:167|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127782,<HEX>-22:17:19:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,330,,,Step_ExtSDM,20171223-22:17:19:174|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:17:19:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,331,,,Step_LSC,20171223-22:17:20:348|Step_LSC|30002312|onStandStepChanged 3628,<HEX>-22:17:20:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,332,,,onExtend,20171223-22:17:20:358|Step_LSC|30002312|onExtend:1514038641000 2 0 4,<HEX>-22:17:20:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,333,,,Step_SPUtils,20171223-22:17:20:652|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7054##548552##8661##16256##27283470,<HEX>-22:17:20:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,334,,,Step_SPUtils,20171223-22:17:20:652|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7056##548553##8661##16256##27284971,<HEX>-22:17:20:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,335,,,Step_ExtSDM,20171223-22:17:20:662|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127824,<HEX>-22:17:20:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,336,,,Step_ExtSDM,20171223-22:17:20:669|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:17:20:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,337,,,Step_StandReportReceiver,20171223-22:17:20:675|Step_StandReportReceiver|30002312|REPORT : 7056 5037 151139 240,<HEX>-22:17:20:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,338,,,Step_LSC,20171223-22:17:20:853|Step_LSC|30002312|onStandStepChanged 3630,<HEX>-22:17:20:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,339,,,onExtend,20171223-22:17:20:859|Step_LSC|30002312|onExtend:1514038641000 2 0 4,<HEX>-22:17:20:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,340,,,Step_SPUtils,20171223-22:17:21:156|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7056##548553##8661##16256##27284971,<HEX>-22:17:21:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,341,,,Step_SPUtils,20171223-22:17:21:156|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7058##548554##8661##16256##27285475,<HEX>-22:17:21:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,342,,,Step_ExtSDM,20171223-22:17:21:162|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127867,<HEX>-22:17:21:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,343,,,Step_ExtSDM,20171223-22:17:21:164|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:17:21:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,344,,,Step_StandReportReceiver,20171223-22:17:21:165|Step_StandReportReceiver|30002312|REPORT : 7058 5039 151182 240,<HEX>-22:17:21:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,345,,,Step_LSC,20171223-22:17:21:348|Step_LSC|30002312|onStandStepChanged 3632,<HEX>-22:17:21:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,346,,,onExtend,20171223-22:17:21:353|Step_LSC|30002312|onExtend:1514038642000 2 0 4,<HEX>-22:17:21:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,347,,,Step_SPUtils,20171223-22:17:21:649|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7058##548554##8661##16256##27285475,<HEX>-22:17:21:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,348,,,Step_SPUtils,20171223-22:17:21:649|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7060##548555##8661##16256##27285968,<HEX>-22:17:21:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,349,,,Step_ExtSDM,20171223-22:17:21:659|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127910,<HEX>-22:17:21:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,350,,,Step_ExtSDM,20171223-22:17:21:663|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:17:21:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,351,,,Step_StandReportReceiver,20171223-22:17:21:668|Step_StandReportReceiver|30002312|REPORT : 7060 5040 151225 240,<HEX>-22:17:21:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,352,,,Step_LSC,20171223-22:17:21:850|Step_LSC|30002312|onStandStepChanged 3634,<HEX>-22:17:21:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,353,,,onExtend,20171223-22:17:21:859|Step_LSC|30002312|onExtend:1514038642000 2 0 4,<HEX>-22:17:21:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,354,,,Step_SPUtils,20171223-22:17:22:151|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7060##548555##8661##16256##27285968,<HEX>-22:17:22:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,355,,,Step_SPUtils,20171223-22:17:22:152|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7062##548556##8661##16256##27286470,<HEX>-22:17:22:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,356,,,Step_ExtSDM,20171223-22:17:22:162|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127953,<HEX>-22:17:22:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,357,,,Step_ExtSDM,20171223-22:17:22:166|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:17:22:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,358,,,Step_StandReportReceiver,20171223-22:17:22:170|Step_StandReportReceiver|30002312|REPORT : 7062 5042 151268 240,<HEX>-22:17:22:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,359,,,Step_LSC,20171223-22:17:22:348|Step_LSC|30002312|onStandStepChanged 3636,<HEX>-22:17:22:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,360,,,onExtend,20171223-22:17:22:363|Step_LSC|30002312|onExtend:1514038643000 2 0 4,<HEX>-22:17:22:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,361,,,Step_SPUtils,20171223-22:17:22:650|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7062##548556##8661##16256##27286470,<HEX>-22:17:22:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,362,,,Step_SPUtils,20171223-22:17:22:651|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7064##548557##8661##16256##27286970,<HEX>-22:17:22:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,363,,,Step_ExtSDM,20171223-22:17:22:661|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=127996,<HEX>-22:17:22:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,364,,,Step_ExtSDM,20171223-22:17:22:665|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:17:22:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,365,,,Step_StandReportReceiver,20171223-22:17:22:665|Step_StandReportReceiver|30002312|REPORT : 7064 5043 151310 240,<HEX>-22:17:22:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,366,,,Step_LSC,20171223-22:17:22:849|Step_LSC|30002312|onStandStepChanged 3638,<HEX>-22:17:22:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,367,,,onExtend,20171223-22:17:22:859|Step_LSC|30002312|onExtend:1514038643000 2 0 4,<HEX>-22:17:22:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,368,,,Step_SPUtils,20171223-22:17:23:150|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7064##548557##8661##16256##27286970,<HEX>-22:17:23:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,369,,,Step_SPUtils,20171223-22:17:23:150|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7066##548558##8661##16256##27287469,<HEX>-22:17:23:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,370,,,Step_ExtSDM,20171223-22:17:23:160|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128039,<HEX>-22:17:23:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,371,,,Step_ExtSDM,20171223-22:17:23:165|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:17:23:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,372,,,Step_StandReportReceiver,20171223-22:17:23:165|Step_StandReportReceiver|30002312|REPORT : 7066 5045 151353 240,<HEX>-22:17:23:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,373,,,Step_LSC,20171223-22:17:23:348|Step_LSC|30002312|onStandStepChanged 3640,<HEX>-22:17:23:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,374,,,onExtend,20171223-22:17:23:358|Step_LSC|30002312|onExtend:1514038644000 2 0 4,<HEX>-22:17:23:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 2 0 4
HealthApp_2k,375,,,Step_SPUtils,20171223-22:17:23:653|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7066##548558##8661##16256##27287469,<HEX>-22:17:23:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,376,,,Step_SPUtils,20171223-22:17:23:653|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7068##548559##8661##16256##27287972,<HEX>-22:17:23:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,377,,,Step_ExtSDM,20171223-22:17:23:662|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128081,<HEX>-22:17:23:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,378,,,Step_ExtSDM,20171223-22:17:23:667|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:17:23:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,379,,,Step_StandReportReceiver,20171223-22:17:23:668|Step_StandReportReceiver|30002312|REPORT : 7068 5046 151396 240,<HEX>-22:17:23:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
